favorite	favoriting|favorites|favorited
favorize	favorizing|favorizes|favorized
favourite	favourites|favourited|favouriting
fawn	fawning|fawns|fawned
fawner	fawners
fawning	fawnings
fax	faxing|faxed|faxes
fay	faying|fays|fayed
faze	fazed|fazes|fazing
feal	fealed|fealing|feals
fearnought	fearnoughts
feasance	feasances
feast	feasting|feasts|feasted
feaster	feasters
feastful	feastfuls
feat	featest|feater|feated|feats|feating
feather	feathers|feathered|feathering
feathering	featherings
featherweight	featherweights
feathery	featheries
feature	featuring|featured|features
feaze	feazed|feazes|feazing
febrifuge	febrifuges
feck	fecks|fecking|fecked
fecundate	fecundated|fecundating|fecundates
fed	feds
federal	federals
federalise	federalises|federalising|federalised
federalist	federalists
federalize	federalizes|federalizing|federalized
federate	federating|federated|federates
federationist	federationists
fee	feed|feeing|fees
feeble	feebled|feeblest|feebles|feebling|feebler
feeblemindedness	feeblemindednesses
feed	feeding|feeds|fed
feeder	feeders
feedforward	feedforwards|feedforwarding|feedforwarded
feedhorn	feedhorns
feeding	feedings
feedlot	feedlots
feedthrough	feedthroughs
feel	feels|feeling|felt
feeler	feelers
feeling	feelings
feeze	feezed|feezing|feezes
feint	feinted|feints|feinting
feist	feists
felicitate	felicitates|felicitating|felicitated
felicitation	felicitations
felid	felids
feline	felines
fell	felled|felling|fells|feller|fellest
fellah	fellahs
feller	fellers
felling	fellings
fellmonger	fellmongering|fellmongered|fellmongers
felloe	felloes
fellow	fellows|fellowing|fellowed
fellowship	fellowshipping|fellowshipped|fellowships
felly	fellies
felon	felons
felony	felonies
felsite	felsites
felstone	felstones
felucca	feluccas
female	females
feme	femes
feminine	feminines
feminise	feminises|feminised|feminising
feminist	feminists
feminization	feminizations
feminize	feminizing|feminized|feminizes
femtoampere	femtoamperes
femtosecond	femtoseconds
fen	fens
fenagle	fenagling|fenagled|fenagles
fence	fenced|fences|fencing
fencer	fencers
fencible	fencibles
fend	fended|fending|fends
fender	fendering|fenders|fendered
fenestrate	fenestrating|fenestrated|fenestrates
fennec	fennecs
feod	feods
feodary	feodaries
feoff	feoffed|feoffs|feoffing
feoffee	feoffees
feoffer	feoffers
feoffment	feoffments
feoffor	feoffors
feral	ferals
feretory	feretories
ferial	ferials
ferine	ferines
